npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1821188483,"BIRLEW, NICHOLAS",CA,CA,83812.67,121115.49,2365,398,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1821188483
1417928516,"OHASHI, GARY",CA,CA,40009.2,55920.13,974,218,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1417928516
1649376351,"KUNZ, JOHN",CA,CA,27910.32,35489.62,320,131,Family Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1649376351
1700426467,"BROWN, KEVIN",CA,CA,22605.27,33441.04,913,95,Chiropractic,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1700426467
1184685281,"BARRIENTOS, DOMINGO",CA,CA,20716.28,26195.02,215,36,Internal Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1184685281
1912999087,"SCHWARTZ, DAVID",CA,CA,16723.3,26359.62,270,105,Family Practice,oig_excluded|nppes_deactivated,2024,no,2.3,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1912999087
1881953156,"PLASENCIA, SALVADOR",CA,CA,16659.15,20804.18,472,62,Internal Medicine,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1881953156
1922059831,"COSTELLO, LLOYD",CA,CA,10268.42,16776.96,394,148,Family Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1922059831
1972919561,"LANDRON, MARJORIE",CA,FL,10020.21,15670.65,150,25,Licensed Clinical Social Worker,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1972919561
1487813150,"CHAVEZ, MARK",CA,CA,8625.59,11376.03,80,73,Emergency Medicine,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1487813150
1427060011,"BROCK, BARRY",CA,CA,8266.1,10875.02,131,79,Obstetrics & Gynecology,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1427060011
1750374591,"BROAD, WILLIAM",CA,CA,7800.73,13271.17,123,101,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1750374591
1982156873,"VANCAMP, JOHN",CA,CA,7128.42,9853.96,113,26,Nurse Practitioner,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1982156873
1295896041,"STAAHL, THEODORE",CA,CA,4058.5,5169.89,29,24,Otolaryngology,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1295896041
1629142351,"GRIFFITHS, CRAIG",CA,CA,4041.96,5073.06,16,16,Certified Registered Nurse Anesthetist (CRNA),oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1629142351
1033223037,"CONTRERAS, VICTOR",CA,CA,3413.49,5529.57,166,20,Family Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1033223037
1043361546,"RASEKHI, MICHAEL",CA,CA,2633.01,3078.75,66,38,Family Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1043361546
