npi,category,taxonomy_code,primary_switch,nppes_deactivated,ndh_role,cms_enrollment_org
1992486849,advanced-practice,363A00000X,Y,,Y,Y
1992489165,physician,207P00000X,Y,,,
1992490064,student,390200000X,Y,,Y,
1992490197,student,390200000X,Y,,Y,
1992490619,student,390200000X,Y,,,
1992491138,student,390200000X,Y,,,
1992491237,pharmacy,183700000X,Y,,,
1992491310,student,390200000X,Y,,Y,
1992491443,behavioral-health,104100000X,Y,,Y,Y
1992491450,physician,208D00000X,Y,,,
1992492094,rehab-therapy,225100000X,Y,,Y,Y
1992492102,student,390200000X,Y,,,
1992492169,student,390200000X,Y,,Y,
1992492300,student,390200000X,Y,,Y,
1992492474,rehab-therapy,225100000X,Y,,Y,
1992492524,advanced-practice,363LA2200X,Y,,Y,Y
1992492656,advanced-practice,363LP0808X,Y,,,
1992492953,student,390200000X,Y,,Y,
1992493043,rehab-therapy,225200000X,Y,,,
1992493605,rehab-therapy,224Z00000X,Y,,,
1992495527,behavioral-health,101YM0800X,Y,,Y,
1992495543,behavioral-health,106S00000X,Y,,,
1992495584,rehab-therapy,225X00000X,Y,,,
1992495949,nursing,163W00000X,Y,,,
1992496061,behavioral-health,101YP2500X,Y,,Y,
1992496079,support,247200000X,Y,,,
1992496111,physician,207R00000X,Y,,,
1992496574,student,390200000X,Y,,,
1992496624,student,390200000X,Y,,,
1992497028,student,390200000X,Y,,,
1992497085,student,390200000X,Y,,Y,
1992497333,behavioral-health,101YP2500X,Y,,Y,Y
1992497713,student,390200000X,Y,,,
1992497960,student,390200000X,Y,,,
1992498042,behavioral-health,106H00000X,Y,,,
1992498182,student,390200000X,Y,,,
1992498752,advanced-practice,363A00000X,Y,,Y,Y
1992499560,advanced-practice,363AM0700X,Y,,Y,
1992499594,advanced-practice,363L00000X,Y,,Y,Y
1992499727,physician,208000000X,Y,,,
1992499768,nursing,163WG0600X,Y,,,
1992499800,physician,207Q00000X,Y,,,
1992499974,physician,2086S0127X,Y,,Y,Y
1992503528,rehab-therapy,225XP0200X,Y,,,
1992504666,rehab-therapy,225X00000X,Y,,Y,Y
1992505788,pharmacy,183700000X,Y,,,
1992505838,advanced-practice,363LP2300X,Y,,,
1992506430,behavioral-health,103T00000X,Y,,,
1992506455,behavioral-health,101YM0800X,Y,,,
1992507511,student,390200000X,Y,,,
1992509350,behavioral-health,106S00000X,Y,,,
1992509442,student,390200000X,Y,,,
1992509640,student,390200000X,Y,,,
1992510077,advanced-practice,367500000X,Y,,,Y
1992510556,behavioral-health,104100000X,Y,,,
1992511307,pharmacy,183500000X,Y,,,
1992511547,rehab-therapy,225X00000X,Y,,,
1992511950,advanced-practice,363L00000X,Y,,Y,Y
1992512743,behavioral-health,101YP2500X,Y,,,
1992513477,rehab-therapy,2255A2300X,Y,,,
1992514848,behavioral-health,104100000X,Y,,,
1992515589,advanced-practice,363L00000X,Y,,Y,Y
1992516108,advanced-practice,363LF0000X,Y,,,
1992516876,pharmacy,1835E0208X,Y,,,
1992520837,behavioral-health,104100000X,Y,,,
1992521140,behavioral-health,101YM0800X,Y,,,
1992521363,advanced-practice,363LP0808X,Y,,,
1992524482,advanced-practice,363A00000X,Y,,Y,Y
1992526354,dietary,133V00000X,Y,,Y,Y
1992526800,advanced-practice,363LF0000X,Y,,Y,Y
1992527238,advanced-practice,363LP2300X,Y,,,
1992527832,rehab-therapy,225XP0200X,Y,,,
1992528095,physician,207Q00000X,Y,,Y,Y
1992529309,behavioral-health,106S00000X,Y,,,
1992529549,behavioral-health,104100000X,Y,,,
1992530174,advanced-practice,363LF0000X,Y,,Y,Y
1992530380,advanced-practice,363A00000X,Y,,Y,Y
1992531743,advanced-practice,363L00000X,Y,,Y,Y
1992531768,pharmacy,183500000X,Y,,,
1992532071,nursing,163WC1500X,Y,,,
1992532410,behavioral-health,101YA0400X,Y,,,
1992532857,behavioral-health,101Y00000X,Y,,,
1992533236,advanced-practice,363LP0808X,Y,,Y,Y
1992533277,other-clinical,174400000X,Y,,,
1992533475,other-clinical,174H00000X,Y,,,
1992535314,rehab-therapy,225100000X,Y,,,
1992535439,behavioral-health,104100000X,Y,,,
1992536353,nursing,164W00000X,Y,,,
1992536411,rehab-therapy,225100000X,Y,,,
1992536551,pharmacy,183500000X,Y,,,
1992540074,physician,2084P0800X,Y,,Y,
1992540355,advanced-practice,363LF0000X,Y,,Y,Y
1992540454,advanced-practice,363LP0808X,Y,,Y,Y
1992541551,rehab-therapy,225100000X,Y,,,
1992541916,advanced-practice,363AM0700X,Y,,Y,Y
1992542310,student,390200000X,Y,,,
1992542401,dental,1223X2210X,Y,,,
1992542716,behavioral-health,101YA0400X,Y,,,
1992543995,student,390200000X,Y,,,
1992544225,student,390200000X,Y,,,
1992544399,rehab-therapy,2255A2300X,Y,,,
1992544746,rehab-therapy,225100000X,Y,,,
1992545446,student,390200000X,Y,,,
1992545487,advanced-practice,363A00000X,Y,,Y,Y
1992546378,dental,1223G0001X,Y,,,
1992546568,physician,208000000X,Y,,,
1992546998,physician,2085R0202X,Y,,,Y
1992547160,behavioral-health,101YM0800X,Y,,,
1992547194,rehab-therapy,2251X0800X,Y,,Y,Y
1992547335,rehab-therapy,225100000X,Y,,,
1992547764,physician,207X00000X,Y,,Y,
1992547970,other-clinical,171M00000X,Y,,,
1992548226,rehab-therapy,231H00000X,Y,,Y,Y
1992548358,rehab-therapy,225700000X,Y,,,
1992548481,student,390200000X,Y,,,
1992549778,rehab-therapy,235Z00000X,Y,,,
1992550115,student,390200000X,Y,,,
1992550412,student,390200000X,Y,,,
1992550545,student,390200000X,Y,,Y,
1992550925,student,390200000X,Y,,,
1992551311,behavioral-health,101Y00000X,Y,,,
1992551469,student,390200000X,Y,,,
1992552236,pharmacy,183500000X,Y,,,
1992552608,student,390200000X,Y,,Y,
1992553127,advanced-practice,363LA2100X,Y,,Y,Y
1992553770,nursing,163WP0809X,Y,,,
1992554968,behavioral-health,101Y00000X,Y,,,
1992555098,student,390200000X,Y,,,
1992555395,student,390200000X,Y,,,
1992555692,student,390200000X,Y,,,
1992556054,behavioral-health,1041C0700X,Y,,,
1992556401,behavioral-health,101YM0800X,Y,,,
1992556856,pharmacy,183500000X,Y,,,
1992557367,behavioral-health,101YM0800X,Y,,,
1992557409,physician,207R00000X,Y,,,
1992557482,student,390200000X,Y,,,
1992557912,student,390200000X,Y,,,
1992558399,student,390200000X,Y,,,
1992558415,student,390200000X,Y,,Y,
1992558985,physician,2084P0800X,Y,,,
1992559181,rehab-therapy,235Z00000X,Y,,Y,
1992559231,physician,207X00000X,Y,,,
1992559397,advanced-practice,363LP0808X,Y,,Y,Y
1992559785,pharmacy,183500000X,Y,,,
1992561575,advanced-practice,363AM0700X,Y,,,
1992562151,advanced-practice,363LF0000X,Y,,Y,Y
1992563779,behavioral-health,101YP2500X,Y,,Y,Y
1992563860,behavioral-health,103K00000X,Y,,,
1992564009,student,390200000X,Y,,,
1992564025,other-clinical,171M00000X,Y,,,
1992564165,student,390200000X,Y,,,
1992564421,physician,208000000X,Y,,,
1992565097,behavioral-health,103T00000X,Y,,,
1992565444,behavioral-health,104100000X,Y,,,
1992565485,student,390200000X,Y,,,
1992565691,behavioral-health,101YM0800X,Y,,,
1992566293,behavioral-health,101YM0800X,Y,,,
1992567341,behavioral-health,104100000X,Y,,,
1992567770,behavioral-health,106S00000X,Y,,,
1992568471,behavioral-health,101YM0800X,Y,,,
1992569230,rehab-therapy,225X00000X,Y,,,
1992569412,advanced-practice,363LW0102X,Y,,,
1992569560,rehab-therapy,235Z00000X,Y,,,
1992570261,advanced-practice,363A00000X,Y,,Y,Y
1992570394,rehab-therapy,225200000X,Y,,,
1992570576,advanced-practice,363LA2200X,Y,,Y,Y
1992571715,advanced-practice,363LP0808X,Y,,,
1992572176,rehab-therapy,235Z00000X,Y,,Y,Y
1992572945,behavioral-health,101YA0400X,Y,,,
1992573075,behavioral-health,101YM0800X,Y,,,
1992573208,behavioral-health,103K00000X,Y,,,
1992573703,behavioral-health,106S00000X,Y,,,
1992574180,nursing,164W00000X,Y,,,
1992574867,behavioral-health,101YP2500X,Y,,Y,Y
1992575021,advanced-practice,363LF0000X,Y,,Y,Y
1992576805,behavioral-health,103TC0700X,Y,,,
1992577530,advanced-practice,363LF0000X,Y,,Y,Y
1992577704,behavioral-health,101YP2500X,Y,,,
1992578470,behavioral-health,1041C0700X,Y,,Y,
1992578892,rehab-therapy,225X00000X,Y,,,
1992579254,rehab-therapy,224Y00000X,Y,,,
1992579536,rehab-therapy,2255A2300X,Y,,,
1992579809,physician,208100000X,Y,,,
1992581458,advanced-practice,363AM0700X,Y,,Y,Y
1992581730,behavioral-health,101YM0800X,Y,,,
1992582175,advanced-practice,363LF0000X,Y,,Y,Y
1992582514,behavioral-health,1041C0700X,Y,,,
1992584197,rehab-therapy,235Z00000X,Y,,,
1992584320,agency,253Z00000X,Y,,Y,
1992585715,behavioral-health,101Y00000X,Y,,,
1992585905,behavioral-health,104100000X,Y,,Y,Y
1992586754,behavioral-health,101YM0800X,Y,,,
1992586887,rehab-therapy,225700000X,Y,,Y,
1992587141,behavioral-health,101Y00000X,Y,,,
1992587570,rehab-therapy,225A00000X,Y,,Y,Y
1992589659,advanced-practice,363LN0000X,Y,,Y,Y
1992590020,advanced-practice,363LF0000X,Y,,Y,Y
1992590087,student,390200000X,Y,,,
1992590673,student,390200000X,Y,,,
1992590715,student,390200000X,Y,,Y,
1992590772,student,390200000X,Y,,Y,
1992591671,student,390200000X,Y,,,
1992591770,behavioral-health,103K00000X,Y,,,
1992593206,student,390200000X,Y,,,
1992593693,behavioral-health,101YP2500X,Y,,,
1992594287,student,390200000X,Y,,,
1992594840,advanced-practice,363LP0808X,Y,,Y,Y
1992595235,student,390200000X,Y,,,
1992595730,student,390200000X,Y,,,
1992595953,student,390200000X,Y,,Y,
1992596795,physician,207R00000X,Y,,,
1992597553,rehab-therapy,235Z00000X,Y,,,
1992597652,student,390200000X,Y,,Y,
1992597694,physician,207R00000X,Y,,,
1992597926,student,390200000X,Y,,,
1992598346,nursing,164W00000X,Y,,,
1992598445,student,390200000X,Y,,,
1992598494,student,390200000X,Y,,,
1992598551,behavioral-health,104100000X,Y,,,
1992598940,student,390200000X,Y,,Y,
1992598973,physician,207P00000X,Y,,,
1992599328,advanced-practice,363L00000X,Y,,Y,Y
1992621726,not-in-nppes,,,,,
1992622310,not-in-nppes,,,,,
1992622385,not-in-nppes,,,,,
1992623391,not-in-nppes,,,,,
1992623482,not-in-nppes,,,,,
1992630669,not-in-nppes,,,,,
1992630859,not-in-nppes,,,,,
1992632921,not-in-nppes,,,,,
1992634216,not-in-nppes,,,,,
1992636401,not-in-nppes,,,,,
1992637730,not-in-nppes,,,,,
1992638316,not-in-nppes,,,,,
1992638324,not-in-nppes,,,,,
1992639496,not-in-nppes,,,,,
1992640007,not-in-nppes,,,,,
1992640171,not-in-nppes,,,,,
1992640254,not-in-nppes,,,,,
1992640338,not-in-nppes,,,,,
1992641120,not-in-nppes,,,,,
1992642326,not-in-nppes,,,,,
1992642599,not-in-nppes,,,,,
1992644405,not-in-nppes,,,,,
1992644793,not-in-nppes,,,,,
1992645592,not-in-nppes,,,,,
1992648364,not-in-nppes,,,,,
1992649487,not-in-nppes,,,,,
1992649693,not-in-nppes,,,,,
1992649719,not-in-nppes,,,,,
1992650063,not-in-nppes,,,,,
1992650170,not-in-nppes,,,,,
1992651814,not-in-nppes,,,,,
1992652002,not-in-nppes,,,,,
1992653398,not-in-nppes,,,,,
1992653927,not-in-nppes,,,,,
1992655286,student,390200000X,Y,,,
1992655658,rehab-therapy,235Z00000X,Y,,,
1992655690,emergency-medical,146M00000X,Y,,,
1992655898,advanced-practice,363L00000X,Y,,Y,Y
1992656490,not-in-nppes,,,,,Y
1992656672,nursing,163W00000X,Y,,,
1992656912,behavioral-health,101YM0800X,Y,,,
1992657886,not-in-nppes,,,,Y,Y
1992658520,not-in-nppes,,,,,
1992661102,behavioral-health,101Y00000X,Y,,,
1992661136,behavioral-health,101Y00000X,Y,,,
1992663439,pharmacy,183500000X,Y,,,
1992663777,behavioral-health,101YM0800X,Y,,,
1992664080,behavioral-health,1041C0700X,Y,,,
1992664429,behavioral-health,101YM0800X,Y,,,
1992665715,student,390200000X,Y,,,
1992665871,rehab-therapy,221700000X,Y,,,
1992666531,behavioral-health,104100000X,Y,,,
1992666572,student,390200000X,Y,,,
1992667315,rehab-therapy,225100000X,Y,,Y,Y
1992667364,pharmacy,183500000X,Y,,,
1992667828,student,390200000X,Y,,,
1992668115,advanced-practice,363LP0200X,Y,,,
1992668180,rehab-therapy,225X00000X,Y,,,
1992668883,advanced-practice,363LN0005X,Y,,,
1992669071,rehab-therapy,225700000X,Y,,,
1992669410,behavioral-health,101YM0800X,Y,,,
1992669519,rehab-therapy,225X00000X,Y,,Y,
1992670335,behavioral-health,101YP2500X,Y,,,
1992670764,behavioral-health,104100000X,Y,,,
1992671119,behavioral-health,104100000X,Y,,,
1992671408,behavioral-health,101YM0800X,Y,,,
1992671465,behavioral-health,101YA0400X,Y,,,
1992671507,student,390200000X,Y,,,
1992671622,behavioral-health,106S00000X,Y,,,
1992671705,pharmacy,183500000X,Y,,,
1992671945,pharmacy,183500000X,Y,,,
1992673263,behavioral-health,103K00000X,Y,,,
1992673917,rehab-therapy,2255A2300X,Y,,,
1992674733,pharmacy,1835I0206X,Y,,,
1992675268,student,390200000X,Y,,,
1992676746,behavioral-health,101YP2500X,Y,,,
1992677678,behavioral-health,101Y00000X,Y,,,
1992677769,physician,208VP0000X,Y,,Y,Y
1992678304,behavioral-health,101Y00000X,Y,,,
1992678916,behavioral-health,101YM0800X,Y,,,
1992679666,behavioral-health,101YM0800X,Y,,,
1992679732,rehab-therapy,225X00000X,Y,,,
1992679781,behavioral-health,106H00000X,Y,,,
1992679930,advanced-practice,363A00000X,Y,,Y,Y
1992680136,behavioral-health,101YM0800X,Y,,,
1992680854,rehab-therapy,225100000X,Y,,Y,Y
1992681001,behavioral-health,103K00000X,Y,,,
1992683213,behavioral-health,101YM0800X,Y,,,
1992684963,other-clinical,171M00000X,Y,,,
1992685523,support,247200000X,Y,,,
1992686067,nursing,164W00000X,Y,,,
1992686208,behavioral-health,101YM0800X,Y,,,
1992686273,advanced-practice,363LF0000X,Y,,Y,Y
1992686364,student,390200000X,Y,,,Y
1992686489,pharmacy,183500000X,Y,,,
1992686885,support,374J00000X,Y,,,
1992687172,advanced-practice,363LP2300X,Y,,,
1992687297,dietary,133V00000X,Y,,Y,Y
1992687685,rehab-therapy,2255A2300X,Y,,,
1992687701,nursing,163WE0003X,Y,,,
1992688337,behavioral-health,1041C0700X,Y,,,
1992688832,nursing,163WN0002X,Y,,,
1992689111,dental,1223G0001X,Y,,,
1992690259,nursing,163W00000X,Y,,,
1992690267,behavioral-health,101YP2500X,Y,,Y,Y
1992690564,behavioral-health,101YM0800X,Y,,,
1992690663,dental,122300000X,Y,,,
1992691190,nursing,163WP0808X,Y,,,
1992691406,physician,207R00000X,Y,,,
1992691588,nursing,163WM0705X,Y,,,
1992691992,behavioral-health,101YS0200X,Y,,,
1992692230,advanced-practice,363A00000X,Y,,Y,
1992693360,rehab-therapy,225700000X,Y,,,
1992693626,student,390200000X,Y,,,
1992694301,student,390200000X,Y,,,
1992694319,physician,208000000X,Y,,Y,
1992694921,physician,207T00000X,Y,,Y,Y
1992695068,rehab-therapy,225X00000X,Y,,,
1992695365,pharmacy,183500000X,Y,,,
1992695506,rehab-therapy,225100000X,Y,,,
1992696033,student,390200000X,Y,,,
1992696579,nursing,163W00000X,Y,,,
1992696629,behavioral-health,106S00000X,Y,,,
1992696744,behavioral-health,106S00000X,Y,,,
1992698559,nursing,163WP0200X,Y,,,
1992698633,physician,207R00000X,Y,,,
1992699185,rehab-therapy,225100000X,Y,,Y,
1992699375,dental,122300000X,Y,,,
1992699433,behavioral-health,101Y00000X,Y,,,
1992699524,student,390200000X,Y,,,
1992699599,student,390200000X,Y,,,
1992700371,physician,207Q00000X,Y,,Y,Y
1992700504,physician,207Q00000X,Y,,Y,Y
1992700553,physician,207Q00000X,Y,,,
1992700900,physician,207RG0100X,Y,Y,Y,Y
1992700959,physician,207RC0001X,Y,,Y,Y
1992701114,advanced-practice,363A00000X,Y,,Y,Y
1992701692,physician,2085R0202X,Y,,,
1992701718,advanced-practice,367500000X,Y,,Y,
1992701890,other-clinical,174400000X,Y,,,
1992702468,advanced-practice,363LA2200X,Y,,Y,Y
1992702625,physician,2084N0400X,Y,,Y,Y
1992702682,physician,207Q00000X,Y,,,
1992702880,podiatry,213E00000X,Y,,,
1992703052,physician,207Q00000X,Y,,Y,Y
1992703300,dental,1223G0001X,Y,,,
1992703409,physician,207X00000X,Y,,,
1992703565,physician,207X00000X,Y,,Y,Y
1992703805,physician,208VP0000X,Y,,Y,Y
1992704274,physician,207R00000X,Y,,,
1992704431,physician,207RG0100X,Y,,Y,Y
1992704779,advanced-practice,363A00000X,Y,,Y,Y
1992704936,behavioral-health,101Y00000X,Y,,,
1992705172,chiropractic,111N00000X,Y,,,
1992705396,other-clinical,174400000X,Y,,,
1992705511,rehab-therapy,225100000X,Y,,Y,Y
1992705552,physician,207RP1001X,Y,,Y,Y
1992705727,physician,207Q00000X,Y,,,
1992705800,physician,207P00000X,Y,,Y,Y
1992706253,physician,207X00000X,Y,,Y,Y
1992706576,advanced-practice,364SP0807X,Y,,,
1992706667,rehab-therapy,225100000X,Y,,,
1992707111,physician,208100000X,Y,,Y,
1992707350,physician,208000000X,Y,,,
1992707418,physician,207RH0003X,Y,,Y,Y
1992708010,physician,207RC0000X,Y,,Y,Y
1992708143,physician,208000000X,Y,,Y,
1992708358,physician,207W00000X,Y,,Y,Y
1992708713,advanced-practice,363LA2200X,Y,,,
1992708846,physician,208000000X,Y,,,
1992708952,dental,1223X0400X,Y,,,
1992709349,physician,207R00000X,Y,,Y,Y
1992709489,physician,207Q00000X,Y,,,
1992709497,physician,207Q00000X,Y,,Y,Y
1992709729,physician,207X00000X,Y,,,
1992709844,physician,207Q00000X,Y,,Y,Y
1992709968,physician,207RG0300X,Y,,Y,
1992711493,physician,207R00000X,Y,,,
1992711568,behavioral-health,1041C0700X,Y,,,
1992711774,rehab-therapy,225100000X,Y,,,
1992712152,chiropractic,111N00000X,Y,,,
1992712624,other-clinical,174400000X,Y,,Y,Y
1992712632,advanced-practice,367500000X,Y,,Y,Y
1992712855,dental,1223G0001X,Y,,,
1992713044,behavioral-health,101YM0800X,Y,,,
1992713259,physician,207X00000X,Y,,Y,Y
1992713515,physician,2084N0400X,Y,,,
1992713762,eye-vision,152W00000X,Y,,,
1992714307,eye-vision,152W00000X,Y,,Y,
1992714372,chiropractic,111NN0400X,Y,,Y,Y
1992714687,chiropractic,111N00000X,Y,,,
1992715643,advanced-practice,363LF0000X,Y,,Y,
1992716070,behavioral-health,101YM0800X,Y,,,
1992716187,physician,207Q00000X,Y,,Y,
1992716302,behavioral-health,104100000X,Y,,,
1992716500,physician,207LP3000X,Y,,Y,
1992717268,physician,207Q00000X,Y,,Y,Y
1992717771,physician,207RI0200X,Y,,,
1992717987,dental,1223G0001X,Y,,,
1992718514,physician,207RG0100X,Y,,Y,
1992718563,rehab-therapy,2255A2300X,Y,,,
1992718639,physician,208000000X,Y,,,
