npi,name,billing_state,provider_type,entity_type,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,nppes_lookup_url
1851312243,Robertson Cheryl,NC,Rheumatology,I,1468580.11,1854445.77,99455,561,https://npiregistry.cms.hhs.gov/provider-view/1851312243
1114948445,"G Medical Diagnostic Services, Inc.",TX,Independent Diagnostic Testing Facility (IDTF),O,1430448.9,1826854.01,2478,2437,https://npiregistry.cms.hhs.gov/provider-view/1114948445
1811378375,Alexandria Ambulatory Surgery Center Lp,LA,Ambulatory Surgical Center,O,1397262.91,1757070.12,393,345,https://npiregistry.cms.hhs.gov/provider-view/1811378375
1750470530,"Evansville Surgery Center Associates, Llc",IN,Ambulatory Surgical Center,O,1381300.52,1738185.63,1377,778,https://npiregistry.cms.hhs.gov/provider-view/1750470530
1407863764,Fung Kaihi,CA,General Surgery,I,1352490.26,1698187.29,1492,14,https://npiregistry.cms.hhs.gov/provider-view/1407863764
1447955877,Genetx Laboratory Llc,TX,Clinical Laboratory,O,1338830.15,1338830.15,2329,394,https://npiregistry.cms.hhs.gov/provider-view/1447955877
1831185891,Belmont Jonathan,PA,Ophthalmology,I,1334501.62,1720378.85,24883,576,https://npiregistry.cms.hhs.gov/provider-view/1831185891
1740289024,Kootenai Outpatient Surgery Cntr Llc,ID,Ambulatory Surgical Center,O,1291696.75,1621462.83,1122,429,https://npiregistry.cms.hhs.gov/provider-view/1740289024
1295726636,Arkin Charles,TN,Rheumatology,I,1262275.25,1608272.01,125147,513,https://npiregistry.cms.hhs.gov/provider-view/1295726636
1912096785,"Evansville Surgery Center Associates, Llc",IN,Ambulatory Surgical Center,O,1260953.74,1585715.5,3580,916,https://npiregistry.cms.hhs.gov/provider-view/1912096785
1629104427,Perrott Ronald,FL,Dermatology,I,1230831.58,1633468.0,18661,2262,https://npiregistry.cms.hhs.gov/provider-view/1629104427
1619924396,Laino Nannette,IL,Nurse Practitioner,I,1216656.67,1533951.46,30756,869,https://npiregistry.cms.hhs.gov/provider-view/1619924396
1578522934,Girnys Raymond,MS,General Surgery,I,1157720.25,1454299.13,1747,108,https://npiregistry.cms.hhs.gov/provider-view/1578522934
1841741808,"Bioreference Health, Llc",CA,Clinical Laboratory,O,1156585.65,1157864.81,121258,13203,https://npiregistry.cms.hhs.gov/provider-view/1841741808
1407859259,Gordon Richard,NJ,Hematology-Oncology,I,1145551.26,1449203.77,192457,554,https://npiregistry.cms.hhs.gov/provider-view/1407859259
1306815287,Mccollum Michael,VA,Gynecological Oncology,I,1141460.88,1434306.62,86405,347,https://npiregistry.cms.hhs.gov/provider-view/1306815287
1306919535,Valles Alfred,CA,Undefined Physician type,I,1082561.98,1414777.46,9242,2000,https://npiregistry.cms.hhs.gov/provider-view/1306919535
1750469789,Orthopedic Surgery Center Llc,LA,Ambulatory Surgical Center,O,1009780.16,1268808.77,1645,556,https://npiregistry.cms.hhs.gov/provider-view/1750469789
1841261526,Martinez De Andino Edwin,SC,Rheumatology,I,993032.7,1272900.91,85902,603,https://npiregistry.cms.hhs.gov/provider-view/1841261526
1922486679,"St Louis Specialty Surgical Center, Llc",MO,Ambulatory Surgical Center,O,990572.17,1242297.49,267,205,https://npiregistry.cms.hhs.gov/provider-view/1922486679
1720007305,Stokes Michael,FL,Interventional Cardiology,I,985728.19,1254886.83,7661,2814,https://npiregistry.cms.hhs.gov/provider-view/1720007305
1487661831,Geller Steven,MD,Internal Medicine,I,979061.56,1093627.55,23792,2797,https://npiregistry.cms.hhs.gov/provider-view/1487661831
1861437717,Sagransky David,NJ,Rheumatology,I,977793.87,1248774.94,109860,531,https://npiregistry.cms.hhs.gov/provider-view/1861437717
1164480927,Albertini John,NC,Dermatology,I,976301.7,1230480.53,3422,340,https://npiregistry.cms.hhs.gov/provider-view/1164480927
1417182429,King William,CA,Diagnostic Radiology,I,973861.32,1230194.59,6520,1474,https://npiregistry.cms.hhs.gov/provider-view/1417182429
1922028265,"Atlantic Gastro Surgicenter, Llc",NJ,Ambulatory Surgical Center,O,963752.16,1180793.25,1923,1121,https://npiregistry.cms.hhs.gov/provider-view/1922028265
1033266788,Lekov Ellie,CA,Pathology,I,955624.39,1213620.61,14479,1611,https://npiregistry.cms.hhs.gov/provider-view/1033266788
1093824872,Digestive Care Of Evansville Pc,IN,Ambulatory Surgical Center,O,954496.67,1155087.39,2369,1784,https://npiregistry.cms.hhs.gov/provider-view/1093824872
1548613755,Vero Beach Florida Asc Llc,FL,Ambulatory Surgical Center,O,944890.0,1196751.32,921,451,https://npiregistry.cms.hhs.gov/provider-view/1548613755
1467457093,Julian John,CA,Urology,I,934285.23,1206108.08,30914,1587,https://npiregistry.cms.hhs.gov/provider-view/1467457093
1316969058,"Bethesda Endoscopy Center, Llc",MD,Ambulatory Surgical Center,O,919699.87,1079178.78,2396,1786,https://npiregistry.cms.hhs.gov/provider-view/1316969058
1235227794,Van Tine Brian,MO,Medical Oncology,I,893332.85,1121732.55,40721,337,https://npiregistry.cms.hhs.gov/provider-view/1235227794
1629222450,Malec Lynn,WI,Hematology-Oncology,I,877750.47,1101747.1,15021,33,https://npiregistry.cms.hhs.gov/provider-view/1629222450
1154369130,Waters Richard,CA,Cardiology,I,860732.46,1137016.09,11146,1575,https://npiregistry.cms.hhs.gov/provider-view/1154369130
1447218862,Daniel Gary,GA,Emergency Medicine,I,836925.54,1082386.09,8074,1473,https://npiregistry.cms.hhs.gov/provider-view/1447218862
1770625931,Cerruto Carlos,FL,Pathology,I,835993.23,1088424.94,14963,5779,https://npiregistry.cms.hhs.gov/provider-view/1770625931
1811002272,Khadavi Alex,CA,Dermatology,I,823736.62,1045270.53,4726,272,https://npiregistry.cms.hhs.gov/provider-view/1811002272
1063472470,Giannakis John,TX,Urology,I,793264.18,918689.72,23921,1374,https://npiregistry.cms.hhs.gov/provider-view/1063472470
1619937018,Carter Elijah,AZ,Obstetrics & Gynecology,I,786651.72,987663.03,1007,28,https://npiregistry.cms.hhs.gov/provider-view/1619937018
1083141899,Ebot James,TX,Neurosurgery,I,785523.48,984690.53,7127,777,https://npiregistry.cms.hhs.gov/provider-view/1083141899
1538167978,Valley Surgical Center Ltd,OH,Ambulatory Surgical Center,O,778186.59,991020.78,1243,694,https://npiregistry.cms.hhs.gov/provider-view/1538167978
1023058666,Szabo Albert,NY,Neurology,I,766131.27,972499.4,36428,586,https://npiregistry.cms.hhs.gov/provider-view/1023058666
1033754163,Shirley Kelly,GA,Nurse Practitioner,I,766041.65,967973.01,66416,157,https://npiregistry.cms.hhs.gov/provider-view/1033754163
1982839940,Dragan Elizabeth,OH,Neurology,I,754382.29,947284.08,22604,193,https://npiregistry.cms.hhs.gov/provider-view/1982839940
1316322035,"Bioreference Health, Llc",TX,Clinical Laboratory,O,751496.75,751496.75,81270,16475,https://npiregistry.cms.hhs.gov/provider-view/1316322035
1205945029,Enriquez Policarpoi,CA,Physical Medicine and Rehabilitation,I,740026.79,931261.71,9880,1330,https://npiregistry.cms.hhs.gov/provider-view/1205945029
1124417357,Aegis Sciences Corporation,TN,Clinical Laboratory,O,736080.53,736080.53,13856,6683,https://npiregistry.cms.hhs.gov/provider-view/1124417357
1346624665,Westgreen Surgical Center Llc,TX,Ambulatory Surgical Center,O,729793.86,918612.76,572,261,https://npiregistry.cms.hhs.gov/provider-view/1346624665
1326710401,"Texas Institute Of Specialized Surgery, Llc",TX,Ambulatory Surgical Center,O,729658.85,916622.69,196,80,https://npiregistry.cms.hhs.gov/provider-view/1326710401
1962415562,Guadagnoli Germano,CT,Rheumatology,I,726839.46,917506.98,24805,252,https://npiregistry.cms.hhs.gov/provider-view/1962415562
1487625802,Perimeter Center For Outpatient Surgery Lp,GA,Ambulatory Surgical Center,O,724761.94,904846.51,4835,416,https://npiregistry.cms.hhs.gov/provider-view/1487625802
1295728293,Montgomery Baxter,TX,Cardiology,I,715589.8,928519.09,9110,279,https://npiregistry.cms.hhs.gov/provider-view/1295728293
1285121020,"Surgery Center At Kissing Camels, Llc",CO,Ambulatory Surgical Center,O,715345.07,901142.28,1215,454,https://npiregistry.cms.hhs.gov/provider-view/1285121020
1043296130,Jeffery Douglas,NC,Neurology,I,712591.26,898701.53,19131,79,https://npiregistry.cms.hhs.gov/provider-view/1043296130
1396804431,Harrison Kevin,NY,General Surgery,I,706661.71,889051.68,4904,49,https://npiregistry.cms.hhs.gov/provider-view/1396804431
1366041097,"Hypertension Nephrology Associates, Pc",PA,Ambulatory Surgical Center,O,702595.88,882776.84,429,183,https://npiregistry.cms.hhs.gov/provider-view/1366041097
1598761025,Kasdan Richard,PA,Neurology,I,700231.25,886811.79,35119,181,https://npiregistry.cms.hhs.gov/provider-view/1598761025
1184664609,"Endoscopy Center At Robinwood, Llc",MD,Ambulatory Surgical Center,O,698265.21,836429.47,2145,1412,https://npiregistry.cms.hhs.gov/provider-view/1184664609
1457354300,Surgery Center Of Ocala Llc,FL,Ambulatory Surgical Center,O,690522.94,868291.52,1543,219,https://npiregistry.cms.hhs.gov/provider-view/1457354300
1225038441,Dunn William,FL,Ophthalmology,I,689565.97,870866.93,17218,449,https://npiregistry.cms.hhs.gov/provider-view/1225038441
1669424651,Bishop Roy,CA,Family Practice,I,685601.96,999524.2,38213,2031,https://npiregistry.cms.hhs.gov/provider-view/1669424651
1306855069,Niederee David,KS,Family Practice,I,683395.54,837716.08,41606,1161,https://npiregistry.cms.hhs.gov/provider-view/1306855069
1063477198,Grandview Surgery Center Ltd,PA,Ambulatory Surgical Center,O,682667.04,858181.93,545,346,https://npiregistry.cms.hhs.gov/provider-view/1063477198
1346299500,Sultan Peter,NY,Orthopedic Surgery,I,677074.73,874555.97,9253,1140,https://npiregistry.cms.hhs.gov/provider-view/1346299500
1013979350,Bello Steven,FL,Otolaryngology,I,663998.83,905484.47,8633,2034,https://npiregistry.cms.hhs.gov/provider-view/1013979350
1760480586,Izzo Joseph,NJ,Diagnostic Radiology,I,660613.78,849557.99,16220,7830,https://npiregistry.cms.hhs.gov/provider-view/1760480586
1356778401,"Bioreference Health, Llc",NJ,Clinical Laboratory,O,658511.83,658511.83,93414,5579,https://npiregistry.cms.hhs.gov/provider-view/1356778401
1255394771,"Doctors Hospital Surgery Center, L.P.",GA,Ambulatory Surgical Center,O,646903.36,811099.9,653,344,https://npiregistry.cms.hhs.gov/provider-view/1255394771
1831230788,"Lackawanna Physicians Ambulatory Surgery Center, Llc",PA,Ambulatory Surgical Center,O,641090.87,805119.66,1197,803,https://npiregistry.cms.hhs.gov/provider-view/1831230788
1811988108,Jones Donald,TN,Anesthesiology,I,630702.72,741024.91,7421,307,https://npiregistry.cms.hhs.gov/provider-view/1811988108
1275537649,Falkenberg Thomas,VA,Ophthalmology,I,594114.19,781509.72,5338,884,https://npiregistry.cms.hhs.gov/provider-view/1275537649
1255332805,Prairieland Outpatient Diagnostic Center Llc,IL,Ambulatory Surgical Center,O,586413.57,702656.67,1563,1158,https://npiregistry.cms.hhs.gov/provider-view/1255332805
1164498812,Oyedijo Dotun,IL,Radiation Oncology,I,574234.24,726835.06,3684,220,https://npiregistry.cms.hhs.gov/provider-view/1164498812
1144283003,North Miami Beach Surgery Center Limited Partnership,FL,Ambulatory Surgical Center,O,562957.86,707751.05,1208,419,https://npiregistry.cms.hhs.gov/provider-view/1144283003
1851392948,Campbell Mark,MI,Hematology-Oncology,I,560083.91,699270.11,26502,212,https://npiregistry.cms.hhs.gov/provider-view/1851392948
1558358887,Baker Jay,FL,Cardiology,I,554345.59,721275.86,5105,1884,https://npiregistry.cms.hhs.gov/provider-view/1558358887
1164580593,Sufian Shekeeb,FL,Vascular Surgery,I,553669.95,732777.27,4507,2016,https://npiregistry.cms.hhs.gov/provider-view/1164580593
1861089666,"Barnet Dulaney Perkins Eye Center, Pc",AZ,Ambulatory Surgical Center,O,548968.51,692572.31,1751,379,https://npiregistry.cms.hhs.gov/provider-view/1861089666
1730831751,Fnz Services Llc,IL,Clinical Laboratory,O,542220.54,542220.54,46090,2118,https://npiregistry.cms.hhs.gov/provider-view/1730831751
1447212774,Louisville Sc Ltd,KY,Ambulatory Surgical Center,O,522095.35,661278.74,1004,365,https://npiregistry.cms.hhs.gov/provider-view/1447212774
1184624819,Ellenby Martin,IL,Vascular Surgery,I,518356.25,664673.22,1934,852,https://npiregistry.cms.hhs.gov/provider-view/1184624819
1194921718,Dhawan Richa,LA,Rheumatology,I,518336.06,652311.05,29928,132,https://npiregistry.cms.hhs.gov/provider-view/1194921718
1245396316,Goodman Leslie,TX,Rheumatology,I,517368.46,663072.22,48420,495,https://npiregistry.cms.hhs.gov/provider-view/1245396316
1588640759,Clinkscales Norman,FL,Diagnostic Radiology,I,509635.34,643019.52,27394,3713,https://npiregistry.cms.hhs.gov/provider-view/1588640759
1700896529,Mccarron William,CA,Podiatry,I,504373.84,632989.99,1764,99,https://npiregistry.cms.hhs.gov/provider-view/1700896529
1922608785,St. Luke's Ambulatory Services Inc.,PA,Ambulatory Surgical Center,O,500937.25,603579.31,1446,874,https://npiregistry.cms.hhs.gov/provider-view/1922608785
1093799405,Orthoarkansas Surgery Center Llc,AR,Ambulatory Surgical Center,O,499958.93,627333.66,474,251,https://npiregistry.cms.hhs.gov/provider-view/1093799405
1922005370,De Noia Vicki,NJ,Nurse Practitioner,I,492163.38,620903.18,39973,251,https://npiregistry.cms.hhs.gov/provider-view/1922005370
1659362184,Applegate Glenn,WI,Radiation Oncology,I,481463.59,605404.9,2925,91,https://npiregistry.cms.hhs.gov/provider-view/1659362184
1578535704,Kalk Alexander,IL,Family Practice,I,479485.03,608632.19,1378,135,https://npiregistry.cms.hhs.gov/provider-view/1578535704
1063462190,Jimenez Ricardo,CA,Pathology,I,474598.75,598687.83,8187,1302,https://npiregistry.cms.hhs.gov/provider-view/1063462190
1043268220,Johnson John,TN,Ophthalmology,I,474291.41,632637.05,3448,896,https://npiregistry.cms.hhs.gov/provider-view/1043268220
1427356864,"Medics At Home, Inc.",NE,Ambulance Service Provider,O,468370.62,599157.15,15477,1257,https://npiregistry.cms.hhs.gov/provider-view/1427356864
1578516746,Gardner Albert,FL,Anesthesiology,I,457827.98,582657.44,38293,79,https://npiregistry.cms.hhs.gov/provider-view/1578516746
1629000831,Strauss Ronald,OH,Allergy/ Immunology,I,456473.18,577489.97,20429,63,https://npiregistry.cms.hhs.gov/provider-view/1629000831
1679552517,Rajendran Vijay,FL,Cardiology,I,456115.18,600835.44,6384,2408,https://npiregistry.cms.hhs.gov/provider-view/1679552517
1669481107,Krahling Jeffrey,CA,Nephrology,I,453544.64,579312.72,3649,1022,https://npiregistry.cms.hhs.gov/provider-view/1669481107
1912055112,Koduri Hemantha,NE,Cardiology,I,453387.42,584262.62,7775,1687,https://npiregistry.cms.hhs.gov/provider-view/1912055112
1326048588,Melucci Michael,TX,Cardiology,I,444684.31,585341.6,3545,1022,https://npiregistry.cms.hhs.gov/provider-view/1326048588
1831258375,Pilkington Trinity,DE,Orthopedic Surgery,I,441111.63,566939.25,15240,607,https://npiregistry.cms.hhs.gov/provider-view/1831258375
1386221604,"Conway Hospital, Inc.",SC,Ambulatory Surgical Center,O,439706.72,549607.38,1355,476,https://npiregistry.cms.hhs.gov/provider-view/1386221604
1235539180,Minnesota Endoscopy Center. Llc,MN,Ambulatory Surgical Center,O,426701.27,505212.55,1069,808,https://npiregistry.cms.hhs.gov/provider-view/1235539180
1902881303,Brystowski Henry,MI,Rheumatology,I,425222.67,546265.57,23407,388,https://npiregistry.cms.hhs.gov/provider-view/1902881303
1265516488,Mark George,NJ,Clinical Cardiac Electrophysiology,I,423373.91,541240.77,7543,2439,https://npiregistry.cms.hhs.gov/provider-view/1265516488
1417021940,O'brien Michael,RI,Ophthalmology,I,417899.12,546197.56,3819,464,https://npiregistry.cms.hhs.gov/provider-view/1417021940
1487761433,Koehler Stephen,CA,Hematology-Oncology,I,414170.33,527083.35,35789,215,https://npiregistry.cms.hhs.gov/provider-view/1487761433
1902824667,Campbell John,CA,Pathology,I,413991.4,536933.42,6006,2806,https://npiregistry.cms.hhs.gov/provider-view/1902824667
1851776843,Schreiner Tiffany,KS,Nurse Practitioner,I,409378.23,515359.66,27582,56,https://npiregistry.cms.hhs.gov/provider-view/1851776843
1073888103,Surgery By Vold Vision,AR,Ambulatory Surgical Center,O,409191.74,518695.84,2969,277,https://npiregistry.cms.hhs.gov/provider-view/1073888103
1255361648,Shahsavari Mehran,OK,Internal Medicine,I,405995.7,519514.53,6718,822,https://npiregistry.cms.hhs.gov/provider-view/1255361648
1649376427,Chandrasekaran Suresh,OK,Interventional Cardiology,I,403205.76,530939.83,8856,1809,https://npiregistry.cms.hhs.gov/provider-view/1649376427
1568635357,Mcdonough Ryan,AK,Interventional Cardiology,I,386638.17,507361.93,6852,860,https://npiregistry.cms.hhs.gov/provider-view/1568635357
1235114349,Paterson Paul,FL,Orthopedic Surgery,I,385445.2,501499.23,5054,823,https://npiregistry.cms.hhs.gov/provider-view/1235114349
1174591143,"Silicon Valley Surgery Center, Lp",CA,Ambulatory Surgical Center,O,378458.26,476182.03,625,106,https://npiregistry.cms.hhs.gov/provider-view/1174591143
1962468397,Overby Terry,VA,Nephrology,I,375928.85,487556.36,3880,872,https://npiregistry.cms.hhs.gov/provider-view/1962468397
1578545596,Coker William,VA,Dermatology,I,374230.86,519519.6,9606,1421,https://npiregistry.cms.hhs.gov/provider-view/1578545596
1487754974,Bahnassi Amjad,MA,Psychiatry,I,373294.9,503951.54,3859,402,https://npiregistry.cms.hhs.gov/provider-view/1487754974
1295739217,Waterside Ambulatory Surgical Center Llc,FL,Ambulatory Surgical Center,O,372940.53,440069.13,1056,802,https://npiregistry.cms.hhs.gov/provider-view/1295739217
1043219876,Wang Robert,NJ,Interventional Cardiology,I,371430.42,532461.51,7417,2273,https://npiregistry.cms.hhs.gov/provider-view/1043219876
1437116985,Paripati Harshita,AZ,Medical Oncology,I,371072.24,467211.55,17823,200,https://npiregistry.cms.hhs.gov/provider-view/1437116985
1114983186,Suggs Mark,TX,Ophthalmology,I,362998.98,493043.21,3672,914,https://npiregistry.cms.hhs.gov/provider-view/1114983186
1558320291,Greenlaw Paul,NC,Orthopedic Surgery,I,362335.07,470527.91,2974,729,https://npiregistry.cms.hhs.gov/provider-view/1558320291
1063495257,Doctors Surgical Partnership Llc,FL,Ambulatory Surgical Center,O,355554.78,448959.72,345,253,https://npiregistry.cms.hhs.gov/provider-view/1063495257
1972569911,Armstrong Jack,PA,Allergy/ Immunology,I,354040.46,450569.75,13509,249,https://npiregistry.cms.hhs.gov/provider-view/1972569911
1124176110,Saito Yuji,CA,Clinical Cardiac Electrophysiology,I,353202.34,476324.98,6744,1798,https://npiregistry.cms.hhs.gov/provider-view/1124176110
1902804107,Athienites Nicolaos,MA,Nephrology,I,352900.76,453203.21,2410,622,https://npiregistry.cms.hhs.gov/provider-view/1902804107
1366498917,Jurow Ronna,CA,General Practice,I,351036.42,451501.34,3480,1047,https://npiregistry.cms.hhs.gov/provider-view/1366498917
1841212404,Strinden Thomas,ND,Ophthalmology,I,342628.63,460138.12,3153,899,https://npiregistry.cms.hhs.gov/provider-view/1841212404
1043295918,Buyo Rogelio,NJ,Nurse Practitioner,I,337757.11,436935.69,4100,603,https://npiregistry.cms.hhs.gov/provider-view/1043295918
1326017401,Ayers Frederick,NY,Diagnostic Radiology,I,336255.86,442046.75,26606,2419,https://npiregistry.cms.hhs.gov/provider-view/1326017401
1871637843,Jaiswal Arun,NY,Internal Medicine,I,333948.8,419363.01,3044,396,https://npiregistry.cms.hhs.gov/provider-view/1871637843
1689780561,Feldman Sorrel,NY,Internal Medicine,I,332996.91,420051.47,4218,258,https://npiregistry.cms.hhs.gov/provider-view/1689780561
1457647281,Pregenzer Gerard,CT,Urology,I,332448.31,424778.43,5906,316,https://npiregistry.cms.hhs.gov/provider-view/1457647281
1659374593,Sharma Ramit,AZ,Pulmonary Disease,I,332276.84,431947.85,5926,867,https://npiregistry.cms.hhs.gov/provider-view/1659374593
1235141003,Thomson Elizabeth,NY,Diagnostic Radiology,I,327273.9,379327.47,3057,1062,https://npiregistry.cms.hhs.gov/provider-view/1235141003
1386656361,Raykhman Vitaly,NY,Urology,I,326449.04,421184.34,7146,865,https://npiregistry.cms.hhs.gov/provider-view/1386656361
1336145770,Alexander Richmond,MS,Pulmonary Disease,I,324890.76,410406.5,5106,829,https://npiregistry.cms.hhs.gov/provider-view/1336145770
1417067893,Shikhman Alexander,CA,Rheumatology,I,324165.18,422294.26,7780,283,https://npiregistry.cms.hhs.gov/provider-view/1417067893
1447411459,Adams Christopher,KY,Interventional Cardiology,I,318617.98,430554.1,5863,2062,https://npiregistry.cms.hhs.gov/provider-view/1447411459
1558534909,Todd William,TN,Internal Medicine,I,317939.0,420905.89,12525,733,https://npiregistry.cms.hhs.gov/provider-view/1558534909
1932140266,Booth Robert,PA,Orthopedic Surgery,I,317370.17,414215.2,2711,639,https://npiregistry.cms.hhs.gov/provider-view/1932140266
1366544405,Lazarevic Milenko,IL,Internal Medicine,I,312625.8,392929.49,4319,477,https://npiregistry.cms.hhs.gov/provider-view/1366544405
1851320626,Rudeseal Frank,AL,Internal Medicine,I,310968.36,394711.86,4809,707,https://npiregistry.cms.hhs.gov/provider-view/1851320626
1689696601,Courtney Stuart,FL,Podiatry,I,304797.77,394788.09,3530,422,https://npiregistry.cms.hhs.gov/provider-view/1689696601
1487820635,Mcmurray Roger,NC,Family Practice,I,304544.4,370995.27,15263,759,https://npiregistry.cms.hhs.gov/provider-view/1487820635
1740860618,"Lister Labs, Llc",AL,Clinical Laboratory,O,303035.93,303035.93,27924,2194,https://npiregistry.cms.hhs.gov/provider-view/1740860618
1295787794,Oliver Lawrence,FL,Cardiology,I,299478.31,391475.42,4483,803,https://npiregistry.cms.hhs.gov/provider-view/1295787794
1982659660,Kirpichnikov Dmitri,NY,Endocrinology,I,299305.07,395891.28,4414,1289,https://npiregistry.cms.hhs.gov/provider-view/1982659660
1295717015,Scott Mark,FL,Pulmonary Disease,I,299301.12,395557.09,3418,1423,https://npiregistry.cms.hhs.gov/provider-view/1295717015
1265509004,Dome Mark,CA,Physician Assistant,I,299289.28,414958.05,6210,1957,https://npiregistry.cms.hhs.gov/provider-view/1265509004
1740314814,Jones Kathleen,CA,Physical Therapist in Private Practice,I,298055.04,378493.52,12142,186,https://npiregistry.cms.hhs.gov/provider-view/1740314814
1679521090,Meluch Anthony,TN,Hematology-Oncology,I,295766.07,372643.92,21186,221,https://npiregistry.cms.hhs.gov/provider-view/1679521090
1588628366,"Portsmouth Regional Ambulatory Surgery Center, Llc",NH,Ambulatory Surgical Center,O,293530.26,363644.54,290,207,https://npiregistry.cms.hhs.gov/provider-view/1588628366
